Categoría,Pregunta,Respuesta,Opciones
Geografía,"¿Qué océano baña las costas de Perú?","Océano Pacífico","Océano Atlántico|Océano Índico|Océano Pacífico|Mar del Caribe"
Historia,"¿Qué faraón ordenó construir la Gran Pirámide de Guiza?","Keops","Ramsés II|Keops|Tutankamón|Amenhotep III"
Ciencia,"¿Qué elemento químico tiene el símbolo 'O'?","Oxígeno","Oro|Oxígeno|Osmio|Óxido"
Arte,"¿Qué poeta escribió 'Las flores del mal'?","Charles Baudelaire","Victor Hugo|Charles Baudelaire|Paul Verlaine|Arthur Rimbaud"
Deportes,"¿Qué deporte se juega en Wimbledon?","Tenis","Fútbol|Rugby|Tenis|Cricket"
Cultura,"¿Qué celebración mexicana honra a los muertos?","Día de Muertos","Día de Muertos|Fiestas Patrias|Navidad|Posadas"
Geografía,"¿Cuál es el río más caudaloso del mundo?","Amazonas","Nilo|Yangtsé|Amazonas|Misisipi"
Historia,"¿Quién fue el primer emperador romano?","Augusto","Julio César|Nerón|Calígula|Augusto"
Ciencia,"¿Qué fuerza mantiene a los planetas en órbita alrededor del Sol?","Gravedad","Magnetismo|Gravedad|Fricción|Presión"
Arte,"¿Quién escribió la ópera 'La flauta mágica'?","Mozart","Beethoven|Mozart|Bach|Handel"
Deportes,"¿Cuántos puntos vale un gol en el fútbol?","1","1|2|3|4"
Cultura,"¿Qué es un 'haiku'?","Un poema japonés","Un instrumento|Una pintura|Un poema japonés|Una danza"
Geografía,"¿En qué país se encuentran las ruinas de Petra?","Jordania","Egipto|Jordania|Grecia|India"
Historia,"¿En qué país tuvo lugar la Revolución Industrial?","Inglaterra","Francia|Estados Unidos|Inglaterra|Alemania"
Ciencia,"¿Qué planeta tiene anillos visibles desde la Tierra?","Saturno","Marte|Júpiter|Saturno|Urano"
Arte,"¿Quién esculpió 'El Pensador'?","Auguste Rodin","Auguste Rodin|Michelangelo|Donatello|Bernini"
Historia,"¿En qué año se firmó la Declaración de Independencia de los Estados Unidos?","1776","1776|1783|1750|1801"
Ciencia,"¿Qué instrumento mide la presión atmosférica?","Barómetro","Barómetro|Termómetro|Anemómetro|Higrómetro"
Geografía,"¿Qué país tiene forma de bota en el mapa?","Italia","España|Grecia|Italia|Portugal"
Arte,"¿Quién pintó 'El nacimiento de Venus'?","Sandro Botticelli","Sandro Botticelli|Leonardo da Vinci|Rafael|Tintoretto"
Deportes,"¿Qué deporte se juega con un disco llamado puck?","Hockey sobre hielo","Fútbol|Hockey sobre hielo|Rugby|Tenis"
Cultura,"¿Cuál es el idioma más hablado en el mundo?","Inglés","Chino|Español|Inglés|Hindi"
Ciencia,"¿Qué fenómeno meteorológico es conocido como 'ojo'?","Huracán","Tornado|Huracán|Ciclón|Tormenta eléctrica"
Literatura,"¿Quién escribió 'Cien años de soledad'?","Gabriel García Márquez","Gabriel García Márquez|Mario Vargas Llosa|Julio Cortázar|Isabel Allende"
Geografía,"¿Cuál es la montaña más alta del mundo?","Everest","K2|Everest|Kilimanjaro|Mont Blanc"
Historia,"¿Qué guerra enfrentó a las colonias americanas contra Inglaterra?","Guerra de Independencia","Guerra Civil|Guerra de Independencia|Guerra de los Siete Años|Revolución Francesa"
Arte,"¿Qué escritor es conocido como el 'Bardo de Avon'?","William Shakespeare","William Shakespeare|Christopher Marlowe|Ben Jonson|Edmund Spenser"
Deportes,"¿En qué deporte se utilizan bolas de colores y un taco?","Billar","Boliche|Billar|Cricquet|Rugby"
Cultura,"¿Qué ciudad es conocida como la 'Ciudad Eterna'?","Roma","Atenas|Roma|Estambul|Jerusalén"
Geografía,"¿Qué país africano es conocido por sus pirámides?","Egipto","Sudán|Egipto|Etiopía|Argelia"
Historia,"¿Quién fue el primer presidente de los Estados Unidos?","George Washington","Abraham Lincoln|George Washington|Thomas Jefferson|John Adams"
Ciencia,"¿Qué órgano bombea sangre en el cuerpo humano?","Corazón","Pulmones|Hígado|Cerebro|Corazón"
Arte,"¿Quién escribió la novela '1984'?","George Orwell","George Orwell|Aldous Huxley|Ray Bradbury|Philip K. Dick"
Deportes,"¿Cuántos jugadores hay en un equipo de voleibol?","6","5|6|7|8"
Cultura,"¿Qué religión utiliza el Corán como libro sagrado?","Islam","Hinduismo|Budismo|Islam|Cristianismo"
Geografía,"¿Qué continente es el más pequeño por superficie?","Oceanía","Europa|África|Oceanía|Antártida"
Historia,"¿Quién fue conocido como el 'Rey Sol'?","Luis XIV","Luis XIII|Luis XIV|Luis XV|Carlos V"
Ciencia,"¿Qué energía se obtiene del Sol?","Energía solar","Energía eólica|Energía térmica|Energía solar|Energía hidráulica"
Arte,"¿Qué estilo artístico se caracteriza por el uso de luz y sombra contrastadas?","Barroco","Renacimiento|Barroco|Rococó|Neoclásico"
Deportes,"¿En qué deporte destacó Usain Bolt?","Atletismo","Natación|Atletismo|Baloncesto|Ciclismo"
Cultura,"¿Qué país es famoso por la ópera y el ballet del Bolshói?","Rusia","Italia|Francia|Rusia|Alemania"
Geografía,"¿Qué país tiene el mayor número de volcanes activos?","Indonesia","Japón|Indonesia|Chile|Islandia"
Historia,"¿En qué país comenzó la Revolución Francesa?","Francia","España|Francia|Inglaterra|Italia"
Ciencia,"¿Qué elemento químico tiene el símbolo 'Fe'?","Hierro","Hierro|Flúor|Fósforo|Francio"
Arte,"¿Quién escribió 'El Principito'?","Antoine de Saint-Exupéry","Jules Verne|Antoine de Saint-Exupéry|Albert Camus|Victor Hugo"
Deportes,"¿Qué equipo de fútbol ha ganado más Copas del Mundo?","Brasil","Alemania|Italia|Brasil|Argentina"
Cultura,"¿Qué festival indio celebra la victoria de la luz sobre la oscuridad?","Diwali","Holi|Diwali|Navratri|Pongal"
Geografía,"¿Qué país tiene la ciudad de Tokio como capital?","Japón","China|Corea del Sur|Japón|Filipinas"
Historia,"¿Qué explorador descubrió América en 1492?","Cristóbal Colón","Cristóbal Colón|Américo Vespucio|Hernán Cortés|Fernando de Magallanes"
Ciencia,"¿Qué estado de la materia tiene forma y volumen definidos?","Sólido","Líquido|Gas|Plasma|Sólido"
Arte,"¿Qué compositor escribió la 'Novena Sinfonía'?","Beethoven","Mozart|Beethoven|Bach|Haydn"
Deportes,"¿Qué deporte se juega con un balón ovalado?","Rugby","Fútbol|Baloncesto|Rugby|Béisbol"
Cultura,"¿Qué famoso edificio parisino fue diseñado por Gustave Eiffel?","Torre Eiffel","Louvre|Torre Eiffel|Notre Dame|Arco del Triunfo"
Geografía,"¿Qué mar no baña las costas de Grecia?","Mar Negro","Mar Negro|Mar Mediterráneo|Mar Egeo|Mar Jónico"
Historia,"¿Qué ciudad fue destruida por la erupción del Vesubio en el año 79?","Pompeya","Herculano|Pompeya|Nápoles|Sorrento"
